"","Year","Age","Height","Weight","Sprint_40yd","Vertical_Jump","Bench_Press_Reps","Broad_Jump","Agility_3cone","Shuttle","BMI","Player_Typedefense","Player_Typeoffense","Player_Typespecial_teams","Position_Typedefensive_back","Position_Typedefensive_lineman","Position_Typekicking_specialist","Position_Typeline_backer","Position_Typeoffensive_lineman","Position_Typeother_special","PositionCB","PositionDB","PositionDE","PositionDT","PositionFB","PositionFS","PositionILB","PositionK","PositionLS","PositionOG","PositionOLB","PositionOT","PositionP","PositionQB","PositionRB","PositionS","PositionSS","PositionTE","PositionWR","Drafted"
"2190",1,0.4,0.470588235294118,0.34545454605945,0.421348314606741,0.581818181818182,0.388107607292942,0.550724637681159,0.311594202898551,0.365714285714286,0.350020112287741,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"51",0,0.4,0.411764705882353,0.163636363685558,0.230337078651685,0.672727272727273,0.468085106382979,0.652173913043478,0.192028985507246,0.245714285714286,0.150863021244162,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"720",0.3,0.3,0.588235294117647,0.554545455012798,0.185393258426966,0.763636363636364,0.702127659574468,0.666666666666667,0.351449275362319,0.485714285714286,0.531528945163352,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"730",0.3,0.4,0.647058823529411,0.590909090786106,0.387640449438202,0.490909090909091,0.388107607292942,0.376811594202899,0.431159420289855,0.337142857142857,0.535354981333552,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1244",0.5,0.4,0.470588235294118,0.509090909544588,0.359550561797753,0.6,0.553191489361702,0.492753623188406,0.503623188405797,0.48,0.555894280004058,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2712",0.4,0.4,0.411764705882353,0.213636363700589,0.258426966292135,0.545454545454545,0.388107607292942,0.681159420289855,0.235507246376812,0.234285714285714,0.215528540468127,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"826",0.3,0.4,0.294117647058823,0.1727272727792,0.123595505617978,0.636363636363636,0.297872340425532,0.623188405797101,0.11231884057971,0.125714285714286,0.226335720538445,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"605",0.2,0.5,0.470588235294118,0.47727272761663,0.331460674157303,0.490909090909091,0.702127659574468,0.507246376811594,0.278985507246377,0.302857142857143,0.515863191824956,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"2635",0.3,0.4,0.470588235294118,0.454545454381474,0.269662921348315,0.618181818181818,0.361702127659574,0.623188405797101,0.376811594202899,0.337142857142857,0.487269557287466,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3424",1,0.5,0.470588235294118,0.190909090966484,0.213483146067416,0.672727272727273,0.148936170212766,0.623188405797101,0.152173913043478,0.194285714285715,0.155583397779578,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2264",0,0.5,0.352941176470588,0.268181818262442,0.095505617977528,0.709090909090909,0.276595744680851,0.623188405797101,0.326086956521739,0.331428571428571,0.320759425289141,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1794",0.8,0.3,0.470588235294118,0.404545455067914,0.308471699204332,0.557514715500327,0.388107607292942,0.533548431313627,0.346889829421573,0.339338590378385,0.424363561825139,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"3158",0.8,0.3,0.352941176470588,0.168181818232379,0.308471699204332,0.557514715500327,0.170212765957447,0.533548431313627,0.346889829421573,0.339338590378385,0.187759603073136,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"75",0,0.4,0.352941176470588,0.204545454606947,0.140449438202247,0.563636363636363,0.276595744680851,0.533548431313627,0.346889829421573,0.339338590378385,0.236123174788047,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"1062",0.4,0.3,0.294117647058823,0.336363636364547,0.174157303370787,0.636363636363636,0.553191489361702,0.536231884057971,0.346889829421573,0.462857142857143,0.450234381678534,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"1639",0.7,0.4,0.705882352941176,0.78181818235385,0.595505617977528,0.290909090909091,0.382978723404255,0.36231884057971,0.608695652173913,0.514285714285714,0.713248488785001,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"862",0.4,0.4,0.588235294117647,0.686363636569978,0.47191011235955,0.454545454545455,0.468085106382979,0.420289855072464,0.539855072463768,0.68,0.688644993619526,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"1802",0.8,0.3,0.529411764705882,0.327272727671746,0.247191011235955,0.545454545454545,0.388107607292942,0.594202898550725,0.242753623188406,0.285714285714286,0.293218199286474,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"928",0.4,0.3,0.294117647058823,0.236363636434694,0.258426966292135,0.527272727272727,0.388107607292942,0.579710144927536,0.346889829421573,0.339338590378385,0.313407421876195,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"1064",0.4,0.4,0.470588235294118,0.386363636680209,0.140449438202247,0.6,0.531914893617021,0.768115942028986,0.155797101449275,0.211428571428571,0.401488654108456,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"935",0.4,0.4,0.352941176470588,0.372727273139956,0.185393258426966,0.557514715500327,0.388107607292942,0.533548431313627,0.346889829421573,0.339338590378385,0.459804693536052,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"1830",0.8,0.4,0.294117647058823,0.236363636434694,0.308471699204332,0.6,0.25531914893617,0.565217391304348,0.141304347826087,0.211428571428571,0.313407421876195,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1310",0.6,0.3,0.529411764705882,0.286363636449726,0.308471699204332,0.557514715500327,0.388107607292942,0.533548431313627,0.346889829421573,0.339338590378385,0.243131300132528,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"1281",0.5,0.3,0.411764705882353,0.118181818217347,0.101123595505618,0.745454545454545,0.388107607292942,0.666666666666667,0.293478260869565,0.339338590378385,0.092076185586011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"972",0.4,0.6,0.647058823529411,0.363636363445053,0.421348314606741,0.418181818181818,0.388107607292942,0.492753623188406,0.322463768115942,0.422857142857143,0.271547021070933,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"724",0.3,0.3,0.764705882352941,0.754545455273344,0.544943820224719,0.436363636363636,0.388107607292942,0.318840579710145,0.518115942028986,0.417142857142857,0.641159144366736,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
